cpu, 40.77, 2021-11-09T06:37:27.842Z
ram, 11350.6, 2021-11-09T06:37:27.842Z
cpu, 59.22, 2021-11-09T06:37:28.343Z
ram, 11374.44, 2021-11-09T06:37:28.343Z
cpu, 41.75, 2021-11-09T06:37:28.843Z
ram, 11362.46, 2021-11-09T06:37:28.843Z
cpu, 38.42, 2021-11-09T06:37:29.343Z
ram, 11361.1, 2021-11-09T06:37:29.343Z
cpu, 34.63, 2021-11-09T06:37:29.843Z
ram, 11359.78, 2021-11-09T06:37:29.843Z
cpu, 20.73, 2021-11-09T06:37:30.344Z
ram, 11353.87, 2021-11-09T06:37:30.344Z
cpu, 24.29, 2021-11-09T06:37:30.844Z
ram, 11351.16, 2021-11-09T06:37:30.844Z
cpu, 24.04, 2021-11-09T06:37:31.344Z
ram, 11352.43, 2021-11-09T06:37:31.344Z
cpu, 21.61, 2021-11-09T06:37:31.845Z
ram, 11354.12, 2021-11-09T06:37:31.845Z
cpu, 27.86, 2021-11-09T06:37:32.345Z
ram, 11351.55, 2021-11-09T06:37:32.345Z
cpu, 26.57, 2021-11-09T06:37:32.845Z
ram, 11351.9, 2021-11-09T06:37:32.845Z
cpu, 16.97, 2021-11-09T06:37:33.346Z
ram, 11352.14, 2021-11-09T06:37:33.346Z
cpu, 14.87, 2021-11-09T06:37:33.846Z
ram, 11352.39, 2021-11-09T06:37:33.846Z
cpu, 15.89, 2021-11-09T06:37:34.347Z
ram, 11352.88, 2021-11-09T06:37:34.347Z
cpu, 19.07, 2021-11-09T06:37:34.865Z
ram, 11352.88, 2021-11-09T06:37:34.865Z
cpu, 24.74, 2021-11-09T06:37:35.366Z
ram, 11353.03, 2021-11-09T06:37:35.366Z
cpu, 21.74, 2021-11-09T06:37:35.868Z
ram, 11352.14, 2021-11-09T06:37:35.868Z
cpu, 17.04, 2021-11-09T06:37:36.369Z
ram, 11350.46, 2021-11-09T06:37:36.369Z
cpu, 21.32, 2021-11-09T06:37:36.885Z
ram, 11350.66, 2021-11-09T06:37:36.885Z
cpu, 19.28, 2021-11-09T06:37:37.393Z
ram, 11349.86, 2021-11-09T06:37:37.393Z
cpu, 22.74, 2021-11-09T06:37:37.894Z
ram, 11349.93, 2021-11-09T06:37:37.894Z
cpu, 30.34, 2021-11-09T06:37:38.396Z
ram, 11352.37, 2021-11-09T06:37:38.396Z
cpu, 29.23, 2021-11-09T06:37:38.914Z
ram, 11352.63, 2021-11-09T06:37:38.914Z
cpu, 37.6, 2021-11-09T06:37:39.414Z
ram, 11386.04, 2021-11-09T06:37:39.414Z
cpu, 65.04, 2021-11-09T06:37:39.915Z
ram, 10478.29, 2021-11-09T06:37:39.915Z
cpu, 83.8, 2021-11-09T06:37:40.415Z
ram, 8983.44, 2021-11-09T06:37:40.415Z
cpu, 89.06, 2021-11-09T06:37:40.914Z
ram, 6344.28, 2021-11-09T06:37:40.914Z
